language,primary contributor,filename,blank,comment,code,"http://cloc.sourceforge.net v 1.64  T=0.26 s (109.2 files/s, 11973.1 lines/s)"
C,gyuyoung.Park,movement.c,20,7,891,
C,everyone,initmap.c,49,12,418,
C,gyuyoung.Park,comment.c,24,8,253,
C,"gyuyoung.Park, wonju.cho",Ending.c,4,8,163,
C,uijin.lee,Printing.c,19,8,147,
C,qwerty,boxescape.c,9,7,59,
C,gyuyoung.Park,restart.c,3,8,56,
C,uijin.lee,Credit.c,6,9,52,
C,uijin.lee,Howto.c,4,11,51,
C,minji.cho,render.c,14,10,47,
C,uijin.lee,digipenlogo.c,5,8,36,
C,wonju.cho,Menu.c,8,8,33,
C,gyuyoung.Park,opening.c,10,8,33,
C,qwerty,Printing_Ending.c,12,8,26,
C,qwerty,backgroundsound.c,5,12,21,
C,minji.cho,Sound.c,7,8,15,
C,qwerty,Wait.c,2,8,11,
C,uijin.lee,printIndent.c,3,8,11,
C,minji.cho,gotoxy.c,3,8,9,
C,minji.cho,textcolor.c,3,8,5,
